id,budget,countries,imdbId,imdbRating,imdbVotes,languages,movieId,plot,poster,released,revenue,runtime,title,tmdbId,url,year
0,30000000,[USA],0114709,8.3,591836,[English],1,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,373554033,81,Toy Story,862,https://themoviedb.org/movie/862,1995
5,65000000,[USA],0113497,6.9,198355,"[English,  French]",2,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,262797249,104,Jumanji,8844,https://themoviedb.org/movie/8844,1995
7,null,[USA],0113228,6.6,18615,[English],3,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,null,101,Grumpier Old Men,15602,https://themoviedb.org/movie/15602,1995
8,16000000,[USA],0114885,5.6,7210,[English],4,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,1995-12-22,81452156,124,Waiting to Exhale,31357,https://themoviedb.org/movie/31357,1995
11,null,[USA],0113041,5.9,25938,[English],5,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg,1995-12-08,76578911,106,Father of the Bride Part II,11862,https://themoviedb.org/movie/11862,1995
12,60000000,[USA],0113277,8.2,416316,"[English,  Spanish]",6,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg,1995-12-15,187436818,170,Heat,949,https://themoviedb.org/movie/949,1995
15,58000000,"[Germany,  USA]",0114319,6.2,29091,"[English,  French]",7,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995-12-15,53672080,127,Sabrina,11860,https://themoviedb.org/movie/11860,1995
17,null,[USA],0112302,5.6,7224,[English],8,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg,1995-12-22,23920048,97,Tom and Huck,45325,https://themoviedb.org/movie/45325,1995
18,35000000,[USA],0114576,5.7,24978,[English],9,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg,1995-12-22,64350171,111,Sudden Death,9091,https://themoviedb.org/movie/9091,1995
19,58000000,"[UK,  USA]",0113189,7.2,194676,"[English,  Russian,  Spanish]",10,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-17,352194034,130,GoldenEye,710,https://themoviedb.org/movie/710,1995
